Driver,Year,Number of Podiums,Championships
Lewis Hamilton,2007,12,0
Lewis Hamilton,2008,22,1
Lewis Hamilton,2009,27,1
Lewis Hamilton,2010,36,1
Lewis Hamilton,2011,42,1
Lewis Hamilton,2012,49,1
Lewis Hamilton,2013,54,1
Lewis Hamilton,2014,70,2
Lewis Hamilton,2015,87,3
Lewis Hamilton,2016,104,3
Lewis Hamilton,2017,117,4
Lewis Hamilton,2018,134,5
Lewis Hamilton,2019,151,6
Lewis Hamilton,2020,165,7
Lewis Hamilton,2021,182,7
Lewis Hamilton,2022,190,7
Lewis Hamilton,2023,196,7
Michael Schumacher,1991,0,0
Michael Schumacher,1992,8,0
Michael Schumacher,1993,17,0
Michael Schumacher,1994,27,1
Michael Schumacher,1995,38,2
Michael Schumacher,1996,46,2
Michael Schumacher,1997,54,2
Michael Schumacher,1998,65,2
Michael Schumacher,1999,71,2
Michael Schumacher,2000,83,3
Michael Schumacher,2001,97,4
Michael Schumacher,2002,114,5
Michael Schumacher,2003,122,6
Michael Schumacher,2004,137,7
Michael Schumacher,2005,142,7
Michael Schumacher,2006,154,7
Michael Schumacher,2010,154,7
Michael Schumacher,2011,154,7
Michael Schumacher,2012,155,7