Position,Constructor,Points,Year
1,Ferrari,204,2007
2,Sauber F1,101,2007
3,Renault,51,2007
4,Williams,33,2007
5,Red Bull Racing,24,2007
6,Toyota,13,2007
7,Toro Rosso,8,2007
8,Honda,6,2007
9,Super Aguri F1,4,2007
10,Spyker F1,1,2007
1,Ferrari,172,2008
2,McLaren,151,2008
3,Sauber F1,135,2008
4,Renault,80,2008
5,Toyota,56,2008
6,Toro Rosso ,39,2008
7,Red Bull Racing,29,2008
8,Williams,26,2008
9,Honda,14,2008
10,Force India,0,2008
1,Brawn Mercedes,172,2009
2,Red Bull Racing,153,2009
3,McLaren,71,2009
4,Ferrari,70,2009
5,Toyota,59,2009
6,Sauber F1,36,2009
7,Williams,34,2009
8,Renault,26,2009
9,Force India,13,2009
10,Toro Rosso,8,2009
1,Red Bull Racing,498,2010
2,McLaren,454,2010
3,Ferrari,396,2010
4,Mercedes,214,2010
5,Renault,163,2010
6,Williams,69,2010
7,Force India,68,2010
8,Sauber F1,44,2010
9,Toro Rosso,13,2010
10,Lotus F1,0,2010
1,Red Bull Racing,650,2011
2,McLaren,497,2011
3,Ferrari,375,2011
4,Mercedes,165,2011
5,Renault,73,2011
6,Force India,69,2011
7,Sauber F1,44,2011
8,Toro Rosso ,41,2011
9,Williams,5,2011
10,Lotus F1,0,2011
1,Red Bull Racing,460,2012
2,Ferrari,400,2012
3,McLaren,378,2012
4,Lotus F1,303,2012
5,Mercedes,142,2012
6,Sauber F1,126,2012
7,Force India,109,2012
8,Williams,76,2012
9,Toro Rosso,26,2012
10,Marussia F1,0,2012
1,Red Bull Racing,596,2013
2,Mercedes,360,2013
3,Ferrari,354,2013
4,Lotus F1,315,2013
5,McLaren,122,2013
6,Force India,77,2013
7,Sauber F1,57,2013
8,Toro Rosso,33,2013
9,Williams,5,2013
10,Marussia F1,0,2013
1,Mercedes,701,2014
2,Red Bull Racing,405,2014
3,Williams,320,2014
4,Ferrari,216,2014
5,McLaren,181,2014
6,Force India,155,2014
7,Toro Rosso,30,2014
8,Lotus F1,10,2014
9,Marussia F1,2,2014
10,Sauber F1,0,2014
1,Mercedes,703,2015
2,Ferrari,428,2015
3,Williams,257,2015
4,Red Bull Racing,187,2015
5,Force India,136,2015
6,Lotus F1,78,2015
7,Toro Rosso ,67,2015
8,Sauber F1,36,2015
9,McLaren,27,2015
10,Marussia F1,0,2015
1,Mercedes,765,2016
2,Red Bull Racing,468,2016
3,Ferrari,398,2016
4,Force India,173,2016
5,Williams,138,2016
6,McLaren,76,2016
7,Toro Rosso,63,2016
8,Haas,29,2016
9,Renault,8,2016
10,Sauber F1,2,2016
1,Mercedes,668,2017
2,Ferrari,522,2017
3,Red Bull Racing,368,2017
4,Force India,187,2017
5,Williams,83,2017
6,Renault,57,2017
7,Toro Rosso,53,2017
8,Haas,47,2017
9,McLaren,30,2017
10,Sauber F1,5,2017
1,Mercedes,655,2018
2,Ferrari,571,2018
3,Red Bull Racing,419,2018
4,Renault,122,2018
5,Haas,93,2018
6,McLaren,62,2018
7,Force India,52,2018
8,Sauber F1,48,2018
9,Toro Rosso,33,2018
10,Williams,7,2018
1,Mercedes,739,2019
2,Ferrari,504,2019
3,Red Bull Racing,417,2019
4,McLaren,145,2019
5,Renault,91,2019
6,Toro Rosso,85,2019
7,Racing Point BWT,73,2019
8,Alfa Romeo Racing,57,2019
9,Haas,28,2019
10,Williams,1,2019
1,Mercedes,264,2020
2,Red Bull Racing,158,2020
3,McLaren,68,2020
4,Racing Point BWT,66,2020
5,Ferrari,61,2020
6,Renault,59,2020
7,AlphaTauri Honda,20,2020
8,Alfa Romeo Racing,2,2020
9,Haas,1,2020
10,Williams,0,2020