Country,NoSafetyCars,Grand Prix,Longitude,Latitude
Argentina,2,Argentine Grand Prix,-58.46,-34.69
Australia,28,Australian Grand Prix,144.97,-37.85
Austria,14,"Austrian Grand Prix
Styrian Grand Prix",14.76,47.22
Azerbaijan,8,Azerbaijan Grand Prix,49.85,40.37
Bahrain,10,"Bahrain Grand Prix
Sakhir Grand Prix",50.51,26.03
Belgium,21,Belgian Grand Prix,5.97,50.44
Brazil,23,Brazilian Grand Prix,-46.7,-23.7
Canada,28,Canadian Grand Prix,-78.68,44.05
China,10,Chinese Grand Prix,121.22,31.34
France,3,French Grand Prix,5.79,43.25
Germany,15,"European Grand Prix
German Grand Prix
Eifel Grand Prix",8.57,49.33
Hungary,7,Hungarian Grand Prix,19.25,47.58
Italy,18,"Italian Grand Prix
Tuscan Grand Prix
Emilia Romagna Grand Prix
San Marino Grand Prix",9.28,45.62
Japan,13,Japanese Grand Prix,138.93,35.37
Malaysia,6,Malaysian Grand Prix,101.74,2.76
Mexico,3,Mexico City Grand Prix,-99.09,19.4
Monaco,24,Monaco Grand Prix,7.42,43.73
Portugal,1,Portugese Grand Prix,-9.39,38.75
Russia,7,Russian Grand Prix,39.96,43.41
Saudi Arabia,3,Saudi Arabian Grand Prix,39.1,21.63
Singapore,20,Singapore Grand Prix,103.86,1.29
South Korea,7,Korean Grand Prix,126.42,34.73
Spain,6,Spanish Grand Prix,-3.59,40.62
The Netherlands,1,Dutch Grand Prix,4.54,52.39
Turkey,2,Turkish Grand Prix,29.41,40.95
United Arab Emirates,6,Abu Dhabi Grand Prix,54.6,24.47
United Kingdom,21,British Grand Prix,-1.02,52.08
United States of America,10,"United States Grand Prix
Miami Grand Prix",-97.64,30.13